rank,streamer,start_month,avg_viewers,count,gender,nationality,birth_year,avg_followers_gained,avg_peak_viewers,avg_stream_length,avg_views_per_hour
1,xqcow,Mar-21,69279.4375,16,Male,Canadian,1995,6823.0625,85804.5,682.3125,55872.3125
1,xqcow,Feb-21,66857.64286,28,Male,Canadian,1995,6010.142857,82693.92857,566.0357143,57849.85714
1,xqcow,Jan-21,70278.17241,29,Male,Canadian,1995,7720.965517,88660.68966,694.1034483,65921.10345
1,xqcow,Dec-20,66653.34375,32,Male,Canadian,1995,93603.28125,87829.625,591.34375,56710.21875
1,xqcow,Nov-20,58746.95455,22,Male,Canadian,1995,5705.727273,78254.90909,621.0909091,46608.5
1,xqcow,Oct-20,50755.93333,30,Male,Canadian,1995,14879.03333,65950.86667,587.4333333,42158.16667
1,xqcow,Sep-20,53245.6,30,Male,Canadian,1995,7845.6,70761.9,611.9333333,43022.23333
1,xqcow,Aug-20,41896.03448,29,Male,Canadian,1995,465.6551724,53567.17241,626.2068966,34754.62069
1,xqcow,Jul-20,37953.67742,31,Male,Canadian,1995,5027.516129,48109.12903,611.9354839,32622.12903
1,xqcow,Jun-20,32181.25,28,Male,Canadian,1995,3393.035714,42698.64286,603.2857143,27444.35714
1,xqcow,May-20,31680.78571,28,Male,Canadian,1995,2200.285714,40929.14286,611.0714286,27411.17857
1,xqcow,Apr-20,44789.14286,28,Male,Canadian,1995,22482.82143,62623.03571,738.75,35462.28571
1,xqcow,Mar-20,22498.17241,29,Male,Canadian,1995,15324.03448,28790.48276,617.7931034,18951.41379
1,xqcow,Feb-20,19371.31034,29,Male,Canadian,1995,2786.034483,24783.82759,588.9310345,16601.58621
1,xqcow,Jan-20,20538.65625,32,Male,Canadian,1995,3005.53125,26225.90625,611.3125,17474.90625
1,xqcow,Dec-19,24361,32,Male,Canadian,1995,2299.84375,31837.8125,577.625,18594.90625
1,xqcow,Nov-19,23163.39286,28,Male,Canadian,1995,4919.571429,29366.64286,634.25,20032.25
1,xqcow,Oct-19,17630.02778,36,Male,Canadian,1995,1404.361111,23527,404.8888889,22247.94444
1,xqcow,Sep-19,20729.33333,30,Male,Canadian,1995,1613.7,27847.7,542.9666667,18959.13333
1,xqcow,Aug-19,20031.75,32,Male,Canadian,1995,2919.5625,28025.1875,629.90625,19507.6875
1,xqcow,Jul-19,17565.23333,30,Male,Canadian,1995,2099.666667,23779.93333,613.9,21035.76667
1,xqcow,Jun-19,16339.89655,29,Male,Canadian,1995,2167.758621,23642.2069,674.9655172,16593.55172
1,xqcow,May-19,13500.16667,30,Male,Canadian,1995,1443.6,18939.56667,586.2666667,14512.93333
1,xqcow,Apr-19,13181.33333,27,Male,Canadian,1995,2665.851852,17652.81481,499.1111111,16226.7037
1,xqcow,Mar-19,12379.11765,34,Male,Canadian,1995,1096.5,16620.41176,519.7941176,14252.85294
1,xqcow,Feb-19,14885.46154,26,Male,Canadian,1995,2139.230769,20026.73077,552.3846154,15494.65385
1,xqcow,Jan-19,16569.66667,30,Male,Canadian,1995,2211.4,22718.16667,549.2666667,15980.93333
1,xqcow,Dec-18,14061.51515,33,Male,Canadian,1995,1594.060606,18926.39394,500.0909091,15014.87879
1,xqcow,Nov-18,15551.15385,26,Male,Canadian,1995,2016.076923,19705.03846,568.8461538,14521.84615
1,xqcow,Oct-18,9527.206897,29,Male,Canadian,1995,1262.793103,12773.89655,605.1724138,9702.724138
1,xqcow,Sep-18,8507.612903,31,Male,Canadian,1995,1189.645161,11073,548.7096774,9868.967742
1,xqcow,Aug-18,8952.540541,37,Male,Canadian,1995,1443.405405,11956.2973,501.0810811,11149.35135
1,xqcow,Jul-18,9308.724138,29,Male,Canadian,1995,1881.448276,12683.72414,700.3448276,10665.75862
1,xqcow,Jun-18,6612.25,32,Male,Canadian,1995,5066.125,9158.6875,437.8125,10750.09375
1,xqcow,May-18,6862.2,25,Male,Canadian,1995,889.48,9090.96,471,9000.72
