rank,age,language,nationality,gender
10,,English,,
76,,English,American,
32,,English,American,
7,,English,N/A,
61,25,English,Moroccan-Canadian,Female
92,33,Korean,South Korean,Female
25,,Korean,,Male
99,31,English,American,Male
97,26,English,American,Male
96,18,English,American,Male
93,22,English,American,Male
91,22,English,American,Male
88,37,English,American,Male
77,30,English,American,Male
58,26,English,American,Male
52,22,English,American,Male
45,25,English,American,Male
43,34,English,American,Male
42,21,English,American,Male
41,29,English,American,Male
40,26,English,American,Male
35,16,English,American,Male
28,37,English,American,Male
17,30,English,American,Male
16,23,English,American,Male
15,27,English,American,Male
14,,English,American,Male
12,31,English,American,Male
11,30,English,American,Male
8,26,English,American,Male
5,30,English,American,Male
3,34,English,American,Male
70,19,English,Australian,Male
44,34,English,Australian,Male
68,27,Portuguese,Brazilian,Male
67,24,Portuguese,Brazilian,Male
66,23,Portuguese,Brazilian,Male
59,19,Portuguese,Brazilian,Male
47,20,Portuguese,Brazilian,Male
37,26,Portuguese,Brazilian,Male
23,31,Portuguese,Brazilian,Male
2,37,Portuguese,Brazilian,Male
89,17,English,British,Male
79,33,English,British,Male
63,17,English,British,Male
60,17,English,British,Male
94,26,English,Canadian,Male
19,27,English,Canadian,Male
1,25,English,Canadian,Male
22,24,Spanish,Colombian,Male
64,25,French,Frence,Male
90,26,French,French,Male
71,28,French,French,Male
46,28,French,French,Male
98,44,German,German,Male
69,29,German,German,Male
53,,German,German,Male
30,33,German,German,Male
29,35,German,German,Male
18,27,German,German,Male
87,25,Italian,Italian,Male
62,33,English,Japanese,Male
38,29,Japanese,Japanese,Male
34,30,English,Mexican,Male
86,30,Spanish,Mexican,Male
57,,English,N/A,Male
55,31,English,New Zealander,Male
84,34,English,"Romanian, Canadian",Male
78,24,Russian,Russian,Male
65,,Russian,Russian,Male
51,25,Russian,Russian,Male
48,33,English,South Korean,Male
50,32,Korean,South Korean,Male
13,24,Spanish,Spanish,Male
9,31,Spanish,Spanish,Male
6,32,Spanish,Spanish,Male
4,26,Spanish,Spanish,Male
81,27,English,Swedish,Male
72,30,English,Swedish,Male
24,,English,Swedish,Male
20,26,English,Swedish,Male
75,34,Turkish,Turkish,Male
85,,English,Australian,N/A
56,31,Japanese,Japanese,N/A
82,,English,N/A,N/A
73,,English,N/A,N/A
54,,English,N/A,N/A
36,,English,N/A,N/A
33,,English,N/A,N/A
31,,English,N/A,N/A
26,,English,N/A,N/A
100,,French,N/A,N/A
80,,French,N/A,N/A
74,,French,N/A,N/A
21,,Korean,N/A,N/A
49,,Russian,N/A,N/A
39,,Russian,N/A,N/A
27,,Russian,N/A,N/A
95,,Spanish,N/A,N/A
83,,Spanish,N/A,N/A
