username,Name,Rank,Birthday (raw),Birthday,Nationality,Previous Career,ID,Games played,Language,Gender,Account creation date (raw),Account creation date,Sources,Age,Current Active Subs
xqcow,Félix Lengyel,1,"November 12, 1995",11/12/1995,Canadian,former professional overwatch player,78121,,English,Male,12th Sep 2014,9/12/2014,,,62047
gaules,Alexandre Borba Chiqueta,2,"December 2, 1983",12/2/1983,Brazilian,former counter-strike player,13076616,,Portuguese,Male,9th Nov 2017,11/9/2017,,,37142
summit1g,Jaryd Lazar,3,"April 27, 1987",4/27/1987,American,former counter-strike global offensive player,10840,,English,Male,1st Dec 2011,12/1/2011,,,44122
ibai,Ibai Llanos,4,"March 26, 1995",3/26/1995,Spanish,Former commentator for e-sports,3196211,,Spanish,Male,20th Feb 2015,2/20/2015,,,
nickmercs,Nicholas Kolcheff,5,"November 21, 1990",11/21/1990,American,Professional Gears of War and Halo player,34313,,English,Male,13th Sep 2010,9/13/2010,,,
auronplay,Raúl Álvarez Genes,6,"November 5, 1988",11/5/1988,Spanish,Worked in a printing shop,24713147,,Spanish,Male,3rd Sep 2019,9/3/2019,,,
esl_csgo,N/A,7,N/A,N/A,N/A,N/A,571,,English,,,,,,
loltyler1,Tyler Steinkamp,8,"March 7, 1995",3/7/1995,American,Was a student at Central Methodist University but withdrew to focus on streaming,3828692,,English,Male,13th Nov 2013,11/13/2013,,,
rubius,Rubén Doblas Gundersen,9,"February 13, 1990",2/13/1990,Spanish,Youtuber,1002201,,Spanish,Male,12th Jan 2013,1/12/2013,,,
fextralife,N/A,10,N/A,N/A,N/A,N/A,16027549,,English,,,,,,
hasanabi,Hasan Doğan Piker,11,"July 25, 1991",7/25/1991,American,"Journalist, columnist at Huffpost, broadcast journalist and producer at The Young Turks",14441748,,English,Male,23rd Mar 2018,3/23/2018,,,
timthetatman,Timothy John Betar,12,"April 8, 1990",4/8/1990,American,Social worker and college student (https://www.looper.com/291442/the-untold-truth-of-timthetatman/),61581,,English,Male,8th Oct 2012,10/8/2012,,,
