Rank,Channel,Channel Id,Channel URL,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Language Id
1,xQcOW,78121,xqcow,11153741010,216060,222720,51623,7869336,5721445,171850753,True,False,English,0
2,Gaules,13076616,gaules,8851423875,515355,387315,17175,2560060,1593040,156307423,True,True,Portuguese,0
3,summit1g,10840,summit1g,6428061285,213090,310998,30165,5833246,1592429,92332600,True,False,English,0
4,ibai,3196211,ibai,5112789660,104010,533239,49156,5432797,4953392,150443786,True,False,Spanish,0
5,NICKMERCS,34313,nickmercs,5077375995,123795,163241,41014,5321694,2028370,65952182,True,False,English,0
6,auronplay,24713147,auronplay,5040804540,54720,294791,92119,7747887,5747830,99587375,True,False,Spanish,0
7,ESL_CSGO,571,esl_csgo,4873432170,517605,244078,9415,4532756,949956,132843615,True,False,English,0
8,loltyler1,3828692,loltyler1,4254103755,146160,105499,29105,4170401,1037992,70682298,True,False,English,0
9,Rubius,1002201,rubius,4234860285,69255,344676,61148,8560101,5018062,109555798,True,False,Spanish,0
10,Fextralife,16027549,fextralife,4139140215,188115,68795,22003,581946,441184,712531006,True,False,English,0
11,HasanAbi,14441748,hasanabi,4053687540,227055,226974,17853,1148718,892298,47303657,True,False,English,0
12,TimTheTatman,61581,timthetatman,3762360060,106650,335403,35277,6311632,1970085,62003395,True,True,English,0
13,TheGrefg,824692,thegrefg,3733620015,81030,2298485,46077,6935664,5126284,103951226,True,False,Spanish,0
14,Asmongold,1916890,asmongold,3340227420,77325,187953,43197,1888766,556506,53814786,True,False,English,0
15,sodapoppin,16635,sodapoppin,3336637500,164100,107432,20332,6236180,3544848,48151659,True,True,English,0
16,Tfue,201973,tfue,3087080775,145800,190173,21173,10128147,2398515,74956052,True,False,English,0
17,LIRIK,62277,lirik,3006942405,130215,75174,23092,2731015,174138,46393466,True,False,English,0
18,Trymacs,5021703,trymacs,2974318905,131430,293900,22630,2437633,1141241,48289319,True,False,German,0
19,shroud,614751,shroud,2963298150,89040,471281,33280,9176039,1914255,82050084,True,False,English,0
20,Anomaly,5255,anomaly,2852386500,84570,125408,33728,2604389,1394627,36500243,True,False,English,0
21,LCK_Korea,13241471,lck_korea,2821806885,58005,349104,48647,859253,359496,109544966,True,False,Korean,0
22,juansguarnizo,8543782,juansguarnizo,2745374745,148755,140500,18455,3399746,2821014,49327980,True,False,Spanish,0
23,alanzoka,241979,alanzoka,2691115770,106815,139777,25194,4572444,1969996,63841187,True,False,Portuguese,0
24,ROSHTEIN,4554738,roshtein,2506848750,180300,36442,13903,497087,255769,28334251,False,True,English,0
25,풍월량 (hanryang1125),8201411,hanryang1125,2500839915,176760,44351,14148,543462,87850,41172720,True,False,Korean,0
26,Riot Games (riotgames),5259,riotgames,2345342145,87795,654205,26713,5014768,626342,47893508,True,False,English,0
27,Dota2RuHub,1203683,dota2ruhub,2343366090,184215,103238,12720,878150,164108,72787376,True,False,Russian,0
28,CohhCarnage,5115,cohhcarnage,2335697190,199650,66023,11698,1354483,132692,39767286,True,False,English,0
29,TheRealKnossi,4219642,therealknossi,2305252380,56475,328945,40818,1594426,868975,30318261,True,True,German,0
30,MontanaBlack88,201894,montanablack88,2294451240,54420,204811,42161,3624242,1299676,38240558,True,True,German,0
31,LEC,6155881,lec,2273199660,59790,388794,38019,1309346,601132,40828172,True,False,English,0
32,LVNDMARK,22584174,lvndmark,2269006395,249870,142160,9080,521482,492549,26553104,True,False,English,0
33,LCS,6276720,lcs,2248559655,49065,241509,45828,1452335,539488,41935984,True,False,English,0
34,Castro_1021,5196,castro_1021,2240426340,102060,163910,21952,2898678,682878,26836506,True,False,English,0
